id,sport-en,sport-de,sport-es,sport-fr,sport-ja,sport-ko,sport-pt,sport-ru,sport-th,sport-tr,sport-vi,sport-zh,sport-aa
55,Nordic Combined,Nord. Kombination,Nórdica Combinada,Combiné nordique,ノルデック複合,노르딕 복합,Combinado Nórdico,Северное многоборье,Nordic Combined,Kuzey Karışık Disiplini,Nordic Tổng hợp,高山越野滑雪,
47,Call of Duty,Call of Duty,Call of Duty,eSport Call of Duty,コール・オブ・デューティ,콜 오브 듀티,Call of Duty,Call of Duty,อีสปอร์ต คอลล์ ออฟ ดิวตี้,Call of Duty,Call of Duty,使命召唤,
40,Indy Racing,Indy Racing,Indy Racing,Course Indy,インディカー・シリーズ,Indy Racing,Formula Indy,Гонки Инди,Indy Racing,Indy Racing,Indy Racing,Indy Racing,إندي كار
127,ESport King of Glory,ESport King of Glory,ESport King of Glory,eSport King of Glory,Eスポーツ キング・オブ・グローリー,E스포츠 킹 오브 글로리,ESport King of Glory,Киберспорт King of Glory,อีสปอร์ต คิง ออฟ กลอรี่,King of Glory,Thể Thao Điện Tử: Game King of Glory,电竞王者荣耀,
160,Softball,Softball,Softball,Softball,ソフトボール,소프트볼,Softball,Софтбол,ซอฟต์บอล,Softball,Bóng mềm,垒球,
193,Pesapallo,Pesapallo,Pesapallo,Pesäpallo,ペサパッロ,페사팔로,Pesapallo,Песапалло,Pesapallo,Pesapallo,Bóng chày Pesapallo,芬兰棒球,
50,Sailing,Segeln,Vela,Voile,セーリング,요트,Vela,Парусный спорт,เรือใบ,Yelken,Đua thuyền buồm,帆船赛,
259,Fencing,Fechten,Esgrima,Escrime,フェンシング,펜싱,Esgrima,Фехтование,ฟันดาบ,Eskrim,Chạy vượt rào,击剑,
294,Equestrian,Pferdesport,Ecuestre,Sauts d'obstacle,馬術の,승마,Hipismo,Конный спорт,Equestrian,Binicilik,Cưỡi ngựa,马术,
325,Diving,Kunstspringen,Buceo,Plongeon,ダイビング,다이빙,Salto,Прыжки в воду,ดำน้ำ,Dalış,Lặn,跳水,
358,Judo,Judo,Judo,Judo,柔道,유도,Judo,Дзюдо,ยูโด,Judo,Nhu đạo,柔道,
391,Modern Pentathlon,Moderner Fünfkampf,Pentatlón Moderno,Pentathlon moderne,近代五種,근대5종,Pentatlo Moderno,Современное пятиборье,Modern Pentathlon,Modern Pentatlon,Năm môn phối hợp,现代五项运动,
392,Taekwondo,Taekwondo,Taekwondo,Taekwondo,テコンドー,태권도,Taekwondo,Тхэквондо,เทควันโด,Tekvando,Taekwondo,跆拳道,
393,Canoeing,Kanusport,Piragüismo,Canoé-Kayak,カヌー,카누,Canoagem,Каноэ,แคนู,Kano,Đua thuyền,独木舟,
63,Rainbow Six,Rainbow Six,Rainbow Six,eSport Rainbow Six,レインボーシックス,레인보우 식스,Rainbow Six,Rainbow Six,อีสปอร์ต เรนโบว์ ซิกซ์,Rainbow Six,Rainbow Six,彩虹六号,
589,Lacrosse,Lacrosse,Lacrosse,Lacrosse,ラクロス,라크로스,Lacrosse,Лакросс,ลัครอซ,Lakros,Quần vợt,长曲棍球,لاكروس
556,Freestyle Skiing,Freestyle-Skiing,Patinaje Estilo Libre,Ski Freestyle,フリースタイルスキー,프리스타일 스케이팅,Esqui Livre,Лыжный спорт (фристайл),Freestyle Skiing,Serbest Kayma,Trượt Tuyết Tự Do,自由滑雪,تزلج حر
655,Schwingen,Schwingen,Schwingen,Lutte Suisse,シュヴィンゲン,슈빙겐,Schwingen,Швинген,ชวิงเกน,İsviçre Güreşi,Vật Thụy Sĩ,瑞士摔跤,مصارعة سويسرية
45,Dota 2,Dota 2,Dota,eSport Dota 2,Dota 2,도타 2,Dota,Dota 2,อีสปอร์ต โดต้า,Dota 2,Dota 2,刀塔2,
26,Specials,Spezial,Especiales,Spéciaux,スペシャル,스페셜,Variados,Специальные,สเปเชี่ยล,Spesiyaller,Đặc biệt,特技比赛,العروض الخاصة
42,Field hockey,Feldhockey,Hockey sobre hierba,Hockey sur gazon,フィールドホッケー,하키,Hóquei em Campo,Хоккей на траве,ฮ็อกกี้,Çim Hokeyi,Hockey trên cỏ,草地曲棍球,
25,Boxing,Boxen,Boxeo,Boxe,ボクシング,권투,Boxe,Бокс,มวยสากล,Boks,Đấm bốc,拳击,الملاكمة
27,Snooker,Snooker,Snooker,Billard,スヌーカー,스누커,Snooker,Снукер,สนุกเกอร์,Snooker,Bi Da,桌球,السنوكر
43,Overwatch,Overwatch,Overwatch,eSport Overwatch,オーバーウォッチ,오버워치,Overwatch,Overwatch,อีสปอร์ต โอเวอร์วอตช์,Overwatch,Overwatch,守望先锋,
62,StarCraft,StarCraft,StarCraft,eSport StarCraft,スタークラフト,스타크래프트,Starcraft,StarCraft,อีสปอร์ต สตาร์คราฟต์,Starcraft,StarCraft,星际争霸,
622,Sumo,Sumo,Sumo,Sumo,相撲,스모,Sumô,Сумо,ซูโม่,Sumo,Sumo,相扑,
17,MMA,MMA,MMA,MMA,総合格闘技,이종격투기,MMA,ММА,เอ็มเอ็มเอ,MMA,Võ Tự Do,综合格斗,الفنون القتالية المختلطة
296,Surfing,Surfen,Surf,Surf,サーフィン,서핑,Surf,Сёрфинг,กระดานโต้คลื่น,Sörf,Lướt ván,冲浪,ركوب الامواج
22,Speedway,Speedway,Speedway,Speedway,スピードウェイ,스피드웨이,Speedway,Спидвей,สปีดเวย์,Speedway,Speedway,沙地摩托车,
39,Floorball,Unihockey,Unihockey,Floorball,フロアボール,플로어볼,Floorball,Флорбол,ฟลอร์บอล,Florbol,Khúc Côn Cầu Trong Nhà,地板球,كرة الارض
721,Netball,Netball,Netball,Netball,ネットボール,넷볼,Netball,Нетбол,เน็ตบอล,Netball,Bóng Lưới,无板篮球,كرة الشبكة
754,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole,Cornhole
886,ESport Valorant,Valorant,Valorant,Valorant,バロラント,발로란트,Valorant,Valorant,วาโลแรนต์,ESpor Valorant,Valorant,电竞无畏契约,ESport Valorant
293,Archery,Bogenschießen,Tiro con arco,Tir à l'arc,アーチェリー,양궁,Tiro com Arco,Стрельба из лука,ยิงธนู,Okçuluk,Bắn cung,射箭,
34,Touring Car Racing,Touring Car Racing,Carreras de turismos,Course de Voitures de tourisme,ツーリングカーレース,Touring Car Racing,Corridas Touring Car,Кузовные автогонки,Touring Car Racing,Touring Car Racing,Touring Car Racing,Touring Car Racing,
490,Chess,Schach,Ajedrez,Echecs,チェス,체스,Xadrez,Шахматы,หมากรุก,Satranç,Cờ Vua,国际象棋,شطرنج
51,eSoccer,eSoccer,eSoccer,eSoccer,eサッカー,eSoccer,eFutebol,eSoccer,อีซอคเกอร์,e-Futbol,Bóng đá điện tử,eSoccer,كرة القدم الإلكترونية
1414,ESport PlayerUnknowns Battlegrounds,PlayerUnknowns Battlegrounds,PlayerUnknowns Battlegrounds,PlayerUnknowns Battlegrounds,プレイヤーアンノウンズ バトルグラウンズ or PUBGクエイク,플레이어언노운스 배틀그라운드,PlayerUnknowns Battlegrounds,PlayerUnknowns Battlegrounds,เพลเยอร์อันโนน แบตเทิลกราวด์,PlayerUnknowns Battlegrounds,PlayerUnknowns Battlegrounds,电竞绝地求生,بلاير أنونز باتل غراوندز
38,Gaelic Hurling,Gaelic Hurling,Hurling Gaélico,Hurling gaélique,ゲーリックハーリング,게일식 헐링,Hurling,Гэльский Хёрлинг,แกลิค เฮอร์ลิ่ง,Hurling,Khúc Côn Cầu Ai-Len,盖尔式板棍球,القذف
424,Gymnastics,Kunstturnen,Gimnasia,Gymnastique,体操,체조,Ginástica,Гимнастика,ยิมนาสติก,Jimnastik,Thể dục dụng cụ,体操,
787,Zed Run,Zed Run,Zed Run,Zed Run,ゼッドラン,제드 런,Zed Run,Zed Run,เซด รัน,Zed Run,Zed Run,Zed Run,Zed Run
1216,Politics,Politik,Política,Politique,政治,정치,Política,Политика,การเมือง,Politika,Chính trị,政治,السياسة
523,Kabaddi,Kabaddi,Kabaddi,Kabaddi,カバディ,카바디,Kabaddi,Кабадди,คาบาดดี้,Kabaddi,Kabaddi,卡巴迪,كابادي
48,Bandy,Bandy,Bandy,Bandy,バンディ,밴디,Bandy,Хоккей с мячом,แบนดี้,Bandy,Khúc côn cầu trên băng (11 người),曲棍球,باندي
94,Curling,Curling,Curling,Curling,カーリング,컬링,Curling,Керлинг,เคอร์ลิง,Körling,Đánh bi,冰壶,زحلقة الأوزان على الجليد
30,League of Legends,League of Legends,League of Legends,eSport League of Legends,リーグ・オブ・レジェンド,리그 오브 레전드,League of Legends,League of Legends,อีสปอร์ต ลีก ออฟ เลเจนด์,League of Legends,Liên Minh Huyền Thoại,英雄联盟,
46,Alpine Skiing,Ski Alpin,Esquí Alpino,Ski alpin,アルペン競技,알파인 스키,Alpino,Горные лыжи,สกีอัลไพน์,Alp Disiplini,Trượt Tuyết Băng Đồng,高山滑雪,التزلج على جبال الالب
18,Darts,Darts,Dardos,Fléchettes,ダーツ,다트,Dardos,Дартс,ลูกดอก,Dart,Ném phi tiêu,飞镖,جماحية
36,Ski Jumping,Skispringen,Salto de Esquí,Saut à ski,スキージャンプ,스키 점프,Saltos em Esqui,Прыжки с трамплина,สกี จัมฟ์ปิ้ง,Kayakla Atlama,Trượt tuyết nhảy cầu,高山滑雪,القفز التزلجي
59,Formula E,Formel E,Fórmula E,Formule E,フォーミュラE,포뮬러 E,Formula E,Формула E,ฟอร์มูลา อี,Formula E,Giải đua xe điện Formula E,E级方程式,
60,3x3 Basketball,3x3 Basketball,3x3 Baloncesto,3x3 Basketball,3x3 バスケットボール,3x3 농구,3x3 Basquetebol,3х3 Баскетбол,3x3 บาสเกตบอล,3x3 Basketbol,3x3 Bóng rổ,3对3篮球,3x3 كرة السلة
1117,ESport World of Warcraft,ESport World of Warcraft,ESport World of Warcraft,eSport World of Warcraft,Eスポーツ ワールドオブウォークラフト,E스포츠 와우,ESport World of Warcraft,World of Warcraft,อีสปอร์ต เวิร์ล ออฟ วอร์คราฟต์,E-Spor World of Warcraft,Thể Thao Điện Tử: Game World of Warcraft,电竞魔兽世界,رياضة إلكترونية وورلد أوف ووركرافت
919,,,,,,,,,,,,,
326,Wrestling,Ringen,Lucha,Catch,レスリング,레슬링,Wrestling,Борьба,มวยปล้ำ,Güreş,Vật,摔跤,
11,Volleyball,Volleyball,Voleibol,Volleyball,バレーボール,배구,Vôlei,Волейбол,วอลเลย์บอล,Voleybol,Bóng chuyền,排球,الكرة الطائرة
23,Badminton,Badminton,Bádminton,Badminton,バドミントン,배드민턴,Badminton,Бадминтон,แบดมินตัน,Badminton,Cầu lông,羽毛球,تنس الريشة
1051,Super Bowl Specials,Super Bowl Specials,Especiales del Super Bowl,spéciales du Super Bowl,のスーパーボウル・スペシャルの,,,,Super Bowl Specials,Super Bowl özel,biệt của Super Bowl,超级碗特别赛,خيار من خيارات السوبر بول
31,Biathlon,Biathlon,Biatlón,Biathlon,バイアスロン,바이에슬론,Biatlo,Биатлон,ไบแอธลอน,Biatlon,Trượt tuyết bắn súng,滑雪和射击,البياتلون
28,Gaelic Football,Gaelic Football,Fútbol Gaélico,Football gaélique,ゲーリックフットボール,게일식 풋볼,Futebol Gaélico,Гэльский футбол,แกลิค ฟุตบอล,Gal Futbolu,Bóng Đá Ai-Len,盖尔式足球,كرة القدم الغيلية
1282,Sport Climbing,Sportklettern,Escalada Deportiva,Escalade sportive,クライミング,스포츠 클라이밍,Escalada Esportiva,Спортивное скалолазание,ปีนหน้าผา,Spor Tırmanışı,Thể Thao Leo Núi,体育攀岩,رياضة التسلق
458,Greyhounds,,,,ドッグレース,,,,,,,,
35,Motorcycle Racing,Motorcycle Racing,Carreras de Motociclismo,Motorcycle Racing,バイクレース,Motorcycle Racing,Motociclismo,Гонки на мотоциклах,Motorcycle Racing,Motosiklet Yarışları,Motorcycle Racing,摩托车竞速,
19,Stock Car Racing,Stock Car Racing,Carreras de Automóviles de Serie,Course de Stock-Car,ストックカー,스톡 카 레이싱,Stock Car,Гонки Stock Car,รถแข่งสต็อกคาร์,NASCAR,Đua xe thường,改装车竞赛,ناسكار
4,Tennis,Tennis,Tenis,Tennis,テニス,테니스,Tênis,Теннис,เทนนิส,Tenis,Quần vợt,网球,التنس
820,Kyotei,Kyotei,Kyotei,Kyotei,競艇,Kyotei,Kyotei,Kyotei,Kyotei,Kyotei,Kyotei,Kyotei,سباق القوارب
37,Counter-Strike,Counter-Strike,Counter-Strike,eSport Counter-Strike,カウンターストライク,카운터-스트라이크,Counter-Strike,Counter-Strike,อีสปอร์ต เคาน์เตอร์-สไตรค์,Counter-Strike,Counter-Strike,反恐精英:全球攻势,
226,Olympics,Olympische Spiele,Juegos Olímpicos,Jeux Olympiques,オリンピック,올림픽,Jogos Olímpicos,Олимпийские игры,โอลิมปิกส์,Olimpiyat Oyunları,Thế Vận Hội,奧运会,
9,Formula 1,Formel 1,Fórmula 1,Formule 1,Ｆ１,포뮬러 1,Fórmula 1,Формула-1,ฟอร์มูล่า วัน,Formula 1,Đua xe Công thức 1,一级方程式,فورمولا 1
952,Hakone Ekiden,,,,箱根駅伝,,,,,,,,
1183,WWE,,,,,,,,,,,,
1,Soccer,Fußball,Fútbol,Football,サッカー,축구,Futebol,Футбол,ฟุตบอล,Futbol,Bóng đá,足球,كرة القدم
1249,Breaking,Breaking,Breaking,Breaking,ブレイキン,Breaking,Breaking,Breaking,Breaking,Breaking,Breaking,Breaking,Breaking
6,Ice Hockey,Eishockey,Hockey sobre hielo,Hockey sur glace,アイス・ホッケー,아이스 하키,Hóquei no Gelo,Хоккей,ฮ็อกกี้ น้ำแข็ง,Buz Hokeyi,Khúc Côn Cầu Trên Băng,冰上曲棍球,هوكي الجليد
1348,Artistic Swimming,Synchronschwimmen,Natación Artística,Natation artistique,アーティスティックスイミング,아티스틱 스위밍,Natação Artística,Синхронное плавание,ระบำใต้น้ำ,Artistik Yüzme,Bơi Nghệ Thuật,花样游泳,سباحة فنية
1448,Padel,Padel,Pádel,Padel,パデル,파델,Padel,Падел,ปาเดล,Padel,Padel,壁球网球,
44,Athletics,Leichtathletik,Atletismo,Athlétisme,アスレチック,육상,Atletismo,Легкая атлетика,กีฬา,Atletizm,Điền Kinh,田径,
7,Baseball,Baseball,Béisbol,Baseball,野球,야구,Basebol,Бейсбол,เบสบอล,Beyzbol,Bóng chày,棒球,البيسبول
985,Big Brother Brazil,Big Brother Brasilien,Big Brother Brazil,Big Brother Brézil,Big Brother Brazil,빅 브라더 브라질,Big Brother Brasil,,บิ๊ก บราเธอร์ส บราซิล,Big brother Brezilya,Big Brother phiên bản Brazil,老大哥（巴西版）,Big Brother Brazil
853,Mahjong,Mahjong,Mahjong,Mahjong,麻雀,마작,Mahjong,,ไพ่นกกระจอก,Mahjong,Mạt chược,麻将,ما جونغ
1315,Shooting,Sportschießen,Tiro,Tir,シューティング,사격,Tiro Esportivo,Стрельба,ยิงปืน,Atıcılık,Bắn súng,射击,الرماية
2,Table Tennis,Tischtennis,Tenis de mesa,Tennis de table,卓球,탁구,Tênis de Mesa,Настольный теннис,ปิงปอง,Masa Tenisi,Bóng bàn,乒乓球,تنس الطاولة
1018,US Elections,US-Wahlen,Elecciones de Estados Unidos,Élections États unis,アメリカ合衆国選挙,미국 선거,Eleições dos EUA,,การเลือกตั้งสหรัฐฯ,ABD Seçimleri,Bầu cử Mỹ,美国大选,إنتخابات الولايات المتحدة
8,Basketball,Basketball,Baloncesto,Basketball,バスケットボール,농구,Basquete,Баскетбол,บาสเก็ตบอล,Basketbol,Bóng rổ,篮球,كرة السلة
16,Golf,Golf,Golf,Golf,ゴルフ,골프,Golfe,Гольф,กอล์ฟ,Golf,Golf,高尔夫,الجولف
56,Rugby League,Rugby League,Rugby League,Rugby League,Rugby League,Rugby League,Rugby League,Rugby League,Rugby League,Ragbi Ligi,Rugby League,Rugby League,دوري الرغبي
15,Cycling,Radsport,Ciclismo,Cyclisme,サイクリング,사이클,Ciclismo,Велоспорт,จักรยาน,Bisiklet,Đua xe đạp,自行车赛,الدراجات الهوائية
300,Weightlifting,Gewichtheben,Halterofilia,Haltérophilie,重量挙げ,역도,Levantamento de Peso,Тяжелая атлетика,ยกน้ำหนัก,Halter,Cử tạ,举重,
12,Beach Volley,Beach Volleyball,Voley playa,Beach Volley,ビーチバレー,비치발리볼,Vôlei de Praia,Пляжный волейбол,วอลเลย์บอลชายหาด,Plaj Voleybolu,Bóng chuyền bãi biển,沙滩排球,
457,Horse Racing,Pferderennen,Carreras de caballos,Course de chevaux,競馬,경마,Corrida de Cavalo,скачки,แข่งม้า,At Yarışı,Đua ngựa,赛马,سباق الخيل
32,Cross-country,Skilanglauf,Esquí de fondo,Ski de fond,クロスカントリー,크로스 컵트리,Cross-Country,Кросс-кантри,ครอส คันทรี,Kayaklı Koşu,Chạy băng đồng,越野,العدو الريفي
292,Swimming,Schwimmen,Natación,Natation,水泳,수영,Natação,Плавание,ว่ายน้ำ,Yüzme,Bơi lội,游泳赛,
14,American Football,American Football,Fútbol americano,Football américain,アメリカン・フットボール,미식축구,Futebol Americano,Американский футбол,อเมริกันฟุตบอล,Amerikan Futbolu,Bóng đá Mỹ,美式橄榄球,كرة القدم الامريكية
20,Cricket,Cricket,Críquet,Cricket,クリケット,크리켓,Críquete,Крикет,คริกเก็ต,Kriket,Bóng Gậy,板球,الكريكيت
1084,Horse Racing Specials,,,,競馬スペシャル,,,,,,,,
57,Rugby Union,,,,ラグビー,럭비유니언,,Регби,รักบี้,Ragbi,Bóng bầu dục,英式橄榄球,إتحاد الرجبي
49,Waterpolo,Wasserball,Waterpolo,Waterpolo,水球,수구,Polo Aquático,Водное поло,โปโลน้ำ,Sutopu,Bóng nước,水球,كرة الماء
